N	Ho	Hs	Fis	Private_alleles	Allelic_richness
Cameroun_Extreme-North_Mayo-Dana	34	0.0705	0.0700162815831639	0.0089	107	1.213
Cameroun_Extreme-North_Mayo-Kani	24	0.0818	0.0760429583101326	-0.0524	232	1.23
Cameroun_Extreme-North_Mayo-Tsana	23	0.0761	0.0466327128971435	-0.6178	0	1.118
Cameroun_North_Bascheo	37	0.0729	0.0619761419150459	-0.162	0	1.163
Cameroun_North_Ngong	40	0.0706	0.0741747016344324	0.0622	889	1.237
Cameroun_North_Tcheboa	32	0.0748	0.0642587712333984	-0.1471	0	1.172
Cameroun_Adamaoua_Falaise	21	0.0739	0.0767878267941322	0.0635	197	1.247
Cameroun_Adamaoua_Tchabal	27	0.0757	0.0786260181846913	0.0576	375	1.253
Cameroun_Adamaoua_Tison	7	0.0744	0.0745106916517031	0.0804	31	1.253
Cameroun_West_Bangoua	16	0.0668	0.066353496733722	0.0272	0	1.192
Cameroun_West_Koutaba	22	0.0673	0.0681873573780949	0.038	31	1.198
Cameroun_West_Mbouda	15	0.065	0.0652907165217839	0.0408	15	1.188
Cameroun_West_Tonga	29	0.0689	0.0693612674418373	0.0245	69	1.196
Mali_Segou_Solosso	28	0.0643	0.0670078384769019	0.0597	3416	1.207
Tchad_Moyen-Chari_Kagala	22	0.0762	0.0689327914163084	-0.0817	685	1.205
Tchad_Logone Occidental_Kana	15	0.0767	0.0777292244690357	0.0494	128	1.251
Tchad_Mandoul_Kemkiam	17	0.0771	0.0784331141674028	0.0486	193	1.249
Tchad_Logone Oriental_Mayongo	14	0.0739	0.0752792928959737	0.0561	88	1.238
Tchad_Mayo-kebbi_Pala	21	0.0761	0.0789119426485436	0.0611	226	1.253
Tchad_Mandoul_Peni	27	0.0763	0.0786419393037464	0.0499	339	1.246
Tchad_Tandjile_Tchoua	18	0.0748	0.0751429034458465	0.0352	220	1.232
