Pays,Région,Localité,Latitude,Longitude,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56089,9.20338,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56673,9.20317,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56663,9.20353,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56666,9.20391,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56678,9.20386,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56762,9.20402,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56698,9.20406,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56702,9.20435,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56763,9.20450,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56784,9.20462,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56811,9.20470,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56544,9.20365,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56520,9.20362,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56529,9.20341,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56509,9.20335,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56142,9.21372,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56142,9.21360,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56149,9.21353,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56188,9.21270,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56193,9.21283,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56214,9.21296,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56231,9.21325,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56243,9.21294,,,,,,
TCHAD,Mayo-kebbi,Pala,14.56215,9.21360,,,,,,
TCHAD, Mandoul , Péni , 17.18845 , 8.46408 ,,,,,,
TCHAD, Mandoul , Péni , 17.18879 , 8.46382 ,,,,,,
TCHAD, Mandoul , Péni , 17.18887 , 8.46378 ,,,,,,
TCHAD, Mandoul , Péni , 17.18894 , 8.46396 ,,,,,,
TCHAD, Mandoul , Péni , 17.18909 , 8.46415 ,,,,,,
TCHAD, Mandoul , Péni , 17.18926 , 8.46405 ,,,,,,
TCHAD, Mandoul , Péni , 17.18937 , 8.46423 ,,,,,,
TCHAD, Mandoul , Péni , 17.18937 , 8.46437 ,,,,,,
TCHAD, Mandoul , Péni , 17.18937 , 8.46444 ,,,,,,
TCHAD, Mandoul , Péni , 17.18964 , 8.46476 ,,,,,,
TCHAD, Mandoul , Péni , 17.18970 , 8.46470 ,,,,,,
TCHAD, Mandoul , Péni , 17.18925 , 8.46486 ,,,,,,
TCHAD, Mandoul , Péni , 17.18917 , 8.46496 ,,,,,,
TCHAD, Mandoul , Péni , 17.18890 , 8.46498 ,,,,,,
TCHAD, Mandoul , Péni , 17.18884 , 8.46521 ,,,,,,
TCHAD, Mandoul , Péni , 17.18884 , 8.46524 ,,,,,,
TCHAD, Mandoul , Péni , 17.18882 , 8.46511 ,,,,,,
TCHAD, Mandoul , Péni , 17.18884 , 8.46501 ,,,,,,
TCHAD, Mandoul , Péni , 17.18897 , 8.46478 ,,,,,,
TCHAD, Mandoul , Péni , 17.18898 , 8.46475 ,,,,,,
TCHAD, Mandoul , Péni , 17.18883 , 8.46472 ,,,,,,
