�..Taxa	Taxa.Name	Pays	Region	Localite.population.	Types.d.utilisations.des.terres
416	TchZ1-pala_ch-pl1-A1-1	TCHAD	Mayo-kebbi	Pala	Champ
417	TchZ1-pala_ch-pl1-B1-2	TCHAD	Mayo-kebbi	Pala	Champ
418	TchZ1-pala_ch-pl1-B2-10	TCHAD	Mayo-kebbi	Pala	Champ
419	TchZ1-pala_ch-pl1-B3-18	TCHAD	Mayo-kebbi	Pala	Champ
420	TchZ1-pala_ch-pl1-B4-26	TCHAD	Mayo-kebbi	Pala	Champ
421	TchZ1-pala_ch-pl1-C1-3	TCHAD	Mayo-kebbi	Pala	Champ
422	TchZ1-pala_ch-pl1-C2-11	TCHAD	Mayo-kebbi	Pala	Champ
423	TchZ1-pala_ch-pl1-C3-19	TCHAD	Mayo-kebbi	Pala	Champ
424	TchZ1-pala_ch-pl1-C4-27	TCHAD	Mayo-kebbi	Pala	Champ
425	TchZ1-pala_ch-pl1-D1-4	TCHAD	Mayo-kebbi	Pala	Champ
426	TchZ1-pala_ch-pl1-D2-12	TCHAD	Mayo-kebbi	Pala	Champ
427	TchZ1-pala_ch-pl1-D3-20	TCHAD	Mayo-kebbi	Pala	Champ
428	TchZ1-pala_ch-pl1-E1-5	TCHAD	Mayo-kebbi	Pala	Champ
429	TchZ1-pala_ch-pl1-E2-13	TCHAD	Mayo-kebbi	Pala	Champ
430	TchZ1-pala_ch-pl1-E3-21	TCHAD	Mayo-kebbi	Pala	Champ
431	TchZ1-pala_ch-pl1-F1-6	TCHAD	Mayo-kebbi	Pala	Champ
432	TchZ1-pala_ch-pl1-F2-14	TCHAD	Mayo-kebbi	Pala	Champ
433	TchZ1-pala_ch-pl1-F3-22	TCHAD	Mayo-kebbi	Pala	Champ
434	TchZ1-pala_ch-pl1-G1-7	TCHAD	Mayo-kebbi	Pala	Champ
435	TchZ1-pala_ch-pl1-G2-15	TCHAD	Mayo-kebbi	Pala	Champ
436	TchZ1-pala_ch-pl1-G3-23	TCHAD	Mayo-kebbi	Pala	Champ
437	TchZ1-pala_ch-pl1-H1-8	TCHAD	Mayo-kebbi	Pala	Champ
438	TchZ1-pala_ch-pl1-H2-16	TCHAD	Mayo-kebbi	Pala	Champ
439	TchZ1-pala_ch-pl1-H3-24	TCHAD	Mayo-kebbi	Pala	Champ
440	TchZ1-peni_ch-pl1-A5-37	TCHAD	Mandoul	Peni	Champ
441	TchZ1-peni_ch-pl1-A6-46	TCHAD	Mandoul	Peni	Champ
442	TchZ1-peni_ch-pl1-A7-54	TCHAD	Mandoul	Peni	Champ
443	TchZ1-peni_ch-pl1-B5-38	TCHAD	Mandoul	Peni	Champ
444	TchZ1-peni_ch-pl1-B6-47	TCHAD	Mandoul	Peni	Champ
445	TchZ1-peni_ch-pl1-B7-55	TCHAD	Mandoul	Peni	Champ
446	TchZ1-peni_ch-pl1-C5-39	TCHAD	Mandoul	Peni	Champ
447	TchZ1-peni_ch-pl1-C7-57	TCHAD	Mandoul	Peni	Champ
448	TchZ1-peni_ch-pl1-D4-31	TCHAD	Mandoul	Peni	Champ
449	TchZ1-peni_ch-pl1-D5-41	TCHAD	Mandoul	Peni	Champ
450	TchZ1-peni_ch-pl1-D6-49	TCHAD	Mandoul	Peni	Champ
451	TchZ1-peni_ch-pl1-D7-58	TCHAD	Mandoul	Peni	Champ
452	TchZ1-peni_ch-pl1-E5-42	TCHAD	Mandoul	Peni	Champ
453	TchZ1-peni_ch-pl1-E6-50	TCHAD	Mandoul	Peni	Champ
454	TchZ1-peni_ch-pl1-E7-59	TCHAD	Mandoul	Peni	Champ
455	TchZ1-peni_ch-pl1-F4-34	TCHAD	Mandoul	Peni	Champ
456	TchZ1-peni_ch-pl1-F5-43	TCHAD	Mandoul	Peni	Champ
457	TchZ1-peni_ch-pl1-F6-51	TCHAD	Mandoul	Peni	Champ
458	TchZ1-peni_ch-pl1-F7-60	TCHAD	Mandoul	Peni	Champ
459	TchZ1-peni_ch-pl1-G4-35	TCHAD	Mandoul	Peni	Champ
460	TchZ1-peni_ch-pl1-G5-44	TCHAD	Mandoul	Peni	Champ
461	TchZ1-peni_ch-pl1-G6-52	TCHAD	Mandoul	Peni	Champ
462	TchZ1-peni_ch-pl1-H4-36	TCHAD	Mandoul	Peni	Champ
463	TchZ1-peni_ch-pl1-H5-45	TCHAD	Mandoul	Peni	Champ
464	TchZ1-peni_ch-pl1-H6-53	TCHAD	Mandoul	Peni	Champ
465	TchZ1-peni_fo-pl1-A8-63	TCHAD	Mandoul	Peni	Foret
466	TchZ1-peni_fo-pl1-B8-65	TCHAD	Mandoul	Peni	Foret
467	TchZ1-peni_fo-pl1-C8-66	TCHAD	Mandoul	Peni	Foret
468	TchZ1-peni_fo-pl1-D8-67	TCHAD	Mandoul	Peni	Foret
400	TchZ1-mayo_ja-pl1-B11-92	TCHAD	Logone Oriental	Mayongo	Jachère
401	TchZ1-mayo_ja-pl1-G10-89	TCHAD	Logone Oriental	Mayongo	Jachère
402	TchZ1-mayo_ja-pl1-H10-90	TCHAD	Logone Oriental	Mayongo	Jachère
403	TchZ1-mayo_ve-pl1-A9-73	TCHAD	Logone Oriental	Mayongo	Verger
404	TchZ1-mayo_ve-pl1-B10-83	TCHAD	Logone Oriental	Mayongo	Verger
405	TchZ1-mayo_ve-pl1-B9-74	TCHAD	Logone Oriental	Mayongo	Verger
406	TchZ1-mayo_ve-pl1-C9-75	TCHAD	Logone Oriental	Mayongo	Verger
407	TchZ1-mayo_ve-pl1-D9-76	TCHAD	Logone Oriental	Mayongo	Verger
408	TchZ1-mayo_ve-pl1-E10-86	TCHAD	Logone Oriental	Mayongo	Verger
409	TchZ1-mayo_ve-pl1-E8-68	TCHAD	Logone Oriental	Mayongo	Verger
410	TchZ1-mayo_ve-pl1-E9-77	TCHAD	Logone Oriental	Mayongo	Verger
411	TchZ1-mayo_ve-pl1-F10-87	TCHAD	Logone Oriental	Mayongo	Verger
412	TchZ1-mayo_ve-pl1-F8-69	TCHAD	Logone Oriental	Mayongo	Verger
413	TchZ1-mayo_ve-pl1-F9-78	TCHAD	Logone Oriental	Mayongo	Verger
414	TchZ1-mayo_ve-pl1-G8-70	TCHAD	Logone Oriental	Mayongo	Verger
415	TchZ1-mayo_ve-pl1-H8-71	TCHAD	Logone Oriental	Mayongo	Verger
364	TchZ1-kana_ve-pl1-A12-99	TCHAD	Logone Occidental	Kana	Verger
365	TchZ1-kana_ve-pl1-B12-100	TCHAD	Logone Occidental	Kana	Verger
366	TchZ1-kana_ve-pl1-C11-93	TCHAD	Logone Occidental	Kana	Verger
367	TchZ1-kana_ve-pl1-C12-101	TCHAD	Logone Occidental	Kana	Verger
368	TchZ1-kana_ve-pl1-D11-94	TCHAD	Logone Occidental	Kana	Verger
369	TchZ1-kana_ve-pl1-D12-102	TCHAD	Logone Occidental	Kana	Verger
370	TchZ1-kana_ve-pl1-E12-103	TCHAD	Logone Occidental	Kana	Verger
371	TchZ1-kana_ve-pl1-F11-96	TCHAD	Logone Occidental	Kana	Verger
372	TchZ1-kana_ve-pl1-F12-105	TCHAD	Logone Occidental	Kana	Verger
373	TchZ1-kana_ve-pl1-G11-97	TCHAD	Logone Occidental	Kana	Verger
374	TchZ1-kana_ve-pl1-G12-106	TCHAD	Logone Occidental	Kana	Verger
375	TchZ1-kana_ve-pl2-A2-118	TCHAD	Logone Occidental	Kana	Verger
376	TchZ1-kana_ve-pl2-B1-109	TCHAD	Logone Occidental	Kana	Verger
377	TchZ1-kana_ve-pl2-B2-119	TCHAD	Logone Occidental	Kana	Verger
378	TchZ1-kana_ve-pl2-C2-121	TCHAD	Logone Occidental	Kana	Verger
379	TchZ1-kana_ve-pl2-D1-111	TCHAD	Logone Occidental	Kana	Verger
380	TchZ1-kana_ve-pl2-F1-115	TCHAD	Logone Occidental	Kana	Verger
381	TchZ1-kana_ve-pl2-G1-116	TCHAD	Logone Occidental	Kana	Verger
382	TchZ1-kana_ve-pl2-H1-117	TCHAD	Logone Occidental	Kana	Verger
469	TchZ1-tcho_ch-pl2-B3-130	TCHAD	Tandjile	Tchoua	Champ
470	TchZ1-tcho_ch-pl2-B5-148	TCHAD	Tandjile	Tchoua	Champ
471	TchZ1-tcho_ch-pl2-C3-131	TCHAD	Tandjile	Tchoua	Champ
472	TchZ1-tcho_ch-pl2-C4-140	TCHAD	Tandjile	Tchoua	Champ
473	TchZ1-tcho_ch-pl2-C5-149	TCHAD	Tandjile	Tchoua	Champ
474	TchZ1-tcho_ch-pl2-D3-132	TCHAD	Tandjile	Tchoua	Champ
475	TchZ1-tcho_ch-pl2-D4-141	TCHAD	Tandjile	Tchoua	Champ
