inds	Country	Region	Locality	Land_use
1_TchZ1_pala_ch_pl1_A1	Tchad	Mayo-kebbi	Pala	Champ
2_TchZ1_pala_ch_pl1_B1	Tchad	Mayo-kebbi	Pala	Champ
3_TchZ1_pala_ch_pl1_C1	Tchad	Mayo-kebbi	Pala	Champ
4_TchZ1_pala_ch_pl1_D1	Tchad	Mayo-kebbi	Pala	Champ
5_TchZ1_pala_ch_pl1_E1	Tchad	Mayo-kebbi	Pala	Champ
6_TchZ1_pala_ch_pl1_F1	Tchad	Mayo-kebbi	Pala	Champ
7_TchZ1_pala_ch_pl1_G1	Tchad	Mayo-kebbi	Pala	Champ
8_TchZ1_pala_ch_pl1_H1	Tchad	Mayo-kebbi	Pala	Champ
9_TchZ1_pala_ch_pl1_A2	Tchad	Mayo-kebbi	Pala	Champ
10_TchZ1_pala_ch_pl1_B2	Tchad	Mayo-kebbi	Pala	Champ
11_TchZ1_pala_ch_pl1_C2	Tchad	Mayo-kebbi	Pala	Champ
12_TchZ1_pala_ch_pl1_D2	Tchad	Mayo-kebbi	Pala	Champ
13_TchZ1_pala_ch_pl1_E2	Tchad	Mayo-kebbi	Pala	Champ
14_TchZ1_pala_ch_pl1_F2	Tchad	Mayo-kebbi	Pala	Champ
15_TchZ1_pala_ch_pl1_G2	Tchad	Mayo-kebbi	Pala	Champ
16_TchZ1_pala_ch_pl1_H2	Tchad	Mayo-kebbi	Pala	Champ
17_TchZ1_pala_ch_pl1_A3	Tchad	Mayo-kebbi	Pala	Champ
18_TchZ1_pala_ch_pl1_B3	Tchad	Mayo-kebbi	Pala	Champ
19_TchZ1_pala_ch_pl1_C3	Tchad	Mayo-kebbi	Pala	Champ
20_TchZ1_pala_ch_pl1_D3	Tchad	Mayo-kebbi	Pala	Champ
21_TchZ1_pala_ch_pl1_E3	Tchad	Mayo-kebbi	Pala	Champ
22_TchZ1_pala_ch_pl1_F3	Tchad	Mayo-kebbi	Pala	Champ
23_TchZ1_pala_ch_pl1_G3	Tchad	Mayo-kebbi	Pala	Champ
24_TchZ1_pala_ch_pl1_H3	Tchad	Mayo-kebbi	Pala	Champ
25_TchZ1_pala_ch_pl1_A4	Tchad	Mayo-kebbi	Pala	Champ
26_TchZ1_pala_ch_pl1_B4	Tchad	Mayo-kebbi	Pala	Champ
27_TchZ1_pala_ch_pl1_C4	Tchad	Mayo-kebbi	Pala	Champ
31_TchZ1_peni_ch_pl1_D4	Tchad	Mandoul	Peni	Champ
33_TchZ1_peni_ch_pl1_E4	Tchad	Mandoul	Peni	Champ
34_TchZ1_peni_ch_pl1_F4	Tchad	Mandoul	Peni	Champ
35_TchZ1_peni_ch_pl1_G4	Tchad	Mandoul	Peni	Champ
36_TchZ1_peni_ch_pl1_H4	Tchad	Mandoul	Peni	Champ
37_TchZ1_peni_ch_pl1_A5	Tchad	Mandoul	Peni	Champ
38_TchZ1_peni_ch_pl1_B5	Tchad	Mandoul	Peni	Champ
39_TchZ1_peni_ch_pl1_C5	Tchad	Mandoul	Peni	Champ
41_TchZ1_peni_ch_pl1_D5	Tchad	Mandoul	Peni	Champ
42_TchZ1_peni_ch_pl1_E5	Tchad	Mandoul	Peni	Champ
43_TchZ1_peni_ch_pl1_F5	Tchad	Mandoul	Peni	Champ
44_TchZ1_peni_ch_pl1_G5	Tchad	Mandoul	Peni	Champ
45_TchZ1_peni_ch_pl1_H5	Tchad	Mandoul	Peni	Champ
46_TchZ1_peni_ch_pl1_A6	Tchad	Mandoul	Peni	Champ
47_TchZ1_peni_ch_pl1_B6	Tchad	Mandoul	Peni	Champ
48_TchZ1_peni_ch_pl1_C6	Tchad	Mandoul	Peni	Champ
49_TchZ1_peni_ch_pl1_D6	Tchad	Mandoul	Peni	Champ
50_TchZ1_peni_ch_pl1_E6	Tchad	Mandoul	Peni	Champ
51_TchZ1_peni_ch_pl1_F6	Tchad	Mandoul	Peni	Champ
52_TchZ1_peni_ch_pl1_G6	Tchad	Mandoul	Peni	Champ
53_TchZ1_peni_ch_pl1_H6	Tchad	Mandoul	Peni	Champ
54_TchZ1_peni_ch_pl1_A7	Tchad	Mandoul	Peni	Champ
55_TchZ1_peni_ch_pl1_B7	Tchad	Mandoul	Peni	Champ
57_TchZ1_peni_ch_pl1_C7	Tchad	Mandoul	Peni	Champ
58_TchZ1_peni_ch_pl1_D7	Tchad	Mandoul	Peni	Champ
59_TchZ1_peni_ch_pl1_E7	Tchad	Mandoul	Peni	Champ
60_TchZ1_peni_ch_pl1_F7	Tchad	Mandoul	Peni	Champ
61_TchZ1_peni_fo_pl1_G7	Tchad	Mandoul	Peni	Foret
62_TchZ1_peni_fo_pl1_H7	Tchad	Mandoul	Peni	Foret
63_TchZ1_peni_fo_pl1_A8	Tchad	Mandoul	Peni	Foret
65_TchZ1_peni_fo_pl1_B8	Tchad	Mandoul	Peni	Foret
66_TchZ1_peni_fo_pl1_C8	Tchad	Mandoul	Peni	Foret
67_TchZ1_peni_fo_pl1_D8	Tchad	Mandoul	Peni	Foret
68_TchZ1_mayo_ve_pl1_E8	Tchad	Logone Oriental	Mayongo	Verger
69_TchZ1_mayo_ve_pl1_F8	Tchad	Logone Oriental	Mayongo	Verger
70_TchZ1_mayo_ve_pl1_G8	Tchad	Logone Oriental	Mayongo	Verger
71_TchZ1_mayo_ve_pl1_H8	Tchad	Logone Oriental	Mayongo	Verger
73_TchZ1_mayo_ve_pl1_A9	Tchad	Logone Oriental	Mayongo	Verger
74_TchZ1_mayo_ve_pl1_B9	Tchad	Logone Oriental	Mayongo	Verger
75_TchZ1_mayo_ve_pl1_C9	Tchad	Logone Oriental	Mayongo	Verger
76_TchZ1_mayo_ve_pl1_D9	Tchad	Logone Oriental	Mayongo	Verger
77_TchZ1_mayo_ve_pl1_E9	Tchad	Logone Oriental	Mayongo	Verger
78_TchZ1_mayo_ve_pl1_F9	Tchad	Logone Oriental	Mayongo	Verger
79_TchZ1_mayo_ve_pl1_G9	Tchad	Logone Oriental	Mayongo	Verger
81_TchZ1_mayo_ve_pl1_H9	Tchad	Logone Oriental	Mayongo	Verger
82_TchZ1_mayo_ve_pl1_A10	Tchad	Logone Oriental	Mayongo	Verger
83_TchZ1_mayo_ve_pl1_B10	Tchad	Logone Oriental	Mayongo	Verger
84_TchZ1_mayo_ve_pl1_C10	Tchad	Logone Oriental	Mayongo	Verger
85_TchZ1_mayo_ve_pl1_D10	Tchad	Logone Oriental	Mayongo	Verger
86_TchZ1_mayo_ve_pl1_E10	Tchad	Logone Oriental	Mayongo	Verger
