Ho	Hs	Ht	Fis
Cameroun_Extreme-Nord_Mayo-Dana	0.0722	0.0741	0.0741	0.0247
Cameroun_Extreme-Nord_Mayo-kani	0.0817	0.0783	0.0783	-0.0432
Cameroun_Extreme-Nord_Mayo-Tsana	0.075	0.0485	0.0485	-0.5453
Cameroun_Nord_Bascheo	0.0732	0.0644	0.0644	-0.1366
Cameroun_Nord_Ngong	0.0713	0.0754	0.0754	0.0536
Cameroun_Nord_Tcheboa	0.0745	0.0663	0.0663	-0.1238
Cameroun_Adamaoua_Falaise	0.074	0.079	0.079	0.0633
Cameroun_Adamaoua_Tchabal	0.076	0.0802	0.0802	0.0532
Cameroun_Adamaoua_Tison	0.0748	0.0811	0.0811	0.0775
Cameroun_Ouest_Bangoua	0.0671	0.0688	0.0688	0.0238
Cameroun_Ouest_Koutaba	0.0678	0.07	0.07	0.0322
Cameroun_Ouest_Mbouda	0.0654	0.0678	0.0678	0.0344
Cameroun_Ouest_Tonga	0.0692	0.0706	0.0706	0.0201
Mali_Segou_Solosso	0.0645	0.0682	0.0682	0.054
Tchad_Moyen-Chari_Kagala	0.0762	0.0703	0.0703	-0.0829
Tchad_Logone Occidental_Kana	0.077	0.0807	0.0807	0.0459
Tchad_Mandoul_Kemkiam	0.0773	0.0809	0.0809	0.0453
Tchad_Logone Oriental_Mayongo	0.0743	0.0784	0.0784	0.0526
Tchad_Mayo-kebbi_Pala	0.0763	0.081	0.081	0.0576
Tchad_Mandoul_Peni	0.0764	0.0801	0.0801	0.0465
Tchad_Tandjile_Tchoua	0.0752	0.0777	0.0777	0.032
